Wilayah,Tahun,Y1,X1,X2,X3
BPD Sumatera Barat,2017,12.17,0.91,59.33,35
BPD Sumatera Barat,2018,7.08,0.96,60.33,36
BPD Sumatera Barat,2019,11.38,1.08,61.33,37
BPD Sumatera Barat,2020,9.27,1.17,62.33,38
Pos Indonesia,2017,10.25,1.58,52.33,33
Pos Indonesia,2018,4.90,1.61,53.33,34
Pos Indonesia,2019,13.86,1.80,53.50,35
Pos Indonesia,2020,8.48,1.90,52.50,36
Bank Negara Indonesia,2017,13.30,6.68,61,61
Bank Negara Indonesia,2018,7.84,6.68,59.33,62
Bank Negara Indonesia,2019,8.95,6.75,60,63
Bank Negara Indonesia,2020,6.86,6.67,58.33,64
Perkebunan,2017,14.67,7.60,50,45
Perkebunan,2018,2.50,6.86,47,46
Perkebunan,2019,2.92,6.57,44.66,47
Perkebunan,2020,21.20,7.75,45.66,48
Bank Mandiri Satu,2017,11.87,1.64,58.50,50
Bank Mandiri Satu,2018,8.75,1.61,56,51
Bank Mandiri Satu,2019,13.52,1.61,57,52
Bank Mandiri Satu,2020,10.50,1.56,58,53
Kaltim Prima Coal,2017,9.45,1.46,48,39
Kaltim Prima Coal,2018,8.32,1.65,49,40
Kaltim Prima Coal,2019,8.54,1.80,50,41
Kaltim Prima Coal,2020,7.92,1.91,51,42
Astra Satu,2017,11.66,1.45,52,35
Astra Satu,2018,3.97,1.34,53,36
Astra Satu,2019,5.62,1.15,54,37
Astra Satu,2020,3.81,0.99,55,38
BPD Jawa Tengah,2017,12.47,1.47,61.75,44
BPD Jawa Tengah,2018,3.34,1.46,62.75,45
BPD Jawa Tengah,2019,9.24,1.55,59.30,46
BPD Jawa Tengah,2020,12.17,1.69,60.30,47
